suicides_no,country,sex,year,age
128,Chile,female,2007,35-54 years
42,Chile,female,2007,55-74 years
9,Chile,female,2007,75+ years
19,Chile,male,2007,5-14 years
9,Chile,female,2007,5-14 years
74,Chile,male,2008,75+ years
346,Chile,male,2008,25-34 years
294,Chile,male,2008,55-74 years
616,Chile,male,2008,35-54 years
330,Chile,male,2008,15-24 years
110,Chile,female,2008,15-24 years
79,Chile,female,2008,25-34 years
135,Chile,female,2008,35-54 years
64,Chile,female,2008,55-74 years
10,Chile,female,2008,75+ years
16,Chile,female,2008,5-14 years
14,Chile,male,2008,5-14 years
88,Chile,male,2009,75+ years
362,Chile,male,2009,25-34 years
316,Chile,male,2009,55-74 years
613,Chile,male,2009,35-54 years
330,Chile,male,2009,15-24 years
102,Chile,female,2009,15-24 years
85,Chile,female,2009,25-34 years
155,Chile,female,2009,35-54 years
59,Chile,female,2009,55-74 years
12,Chile,female,2009,75+ years
15,Chile,male,2009,5-14 years
11,Chile,female,2009,5-14 years
98,Chile,male,2010,75+ years
607,Chile,male,2010,35-54 years
307,Chile,male,2010,25-34 years
273,Chile,male,2010,55-74 years
315,Chile,male,2010,15-24 years
90,Chile,female,2010,15-24 years
150,Chile,female,2010,35-54 years
78,Chile,female,2010,25-34 years
45,Chile,female,2010,55-74 years
10,Chile,female,2010,75+ years
18,Chile,male,2010,5-14 years
10,Chile,female,2010,5-14 years
89,Chile,male,2011,75+ years
339,Chile,male,2011,55-74 years
330,Chile,male,2011,25-34 years
575,Chile,male,2011,35-54 years
312,Chile,male,2011,15-24 years
158,Chile,female,2011,35-54 years
67,Chile,female,2011,25-34 years
69,Chile,female,2011,15-24 years
50,Chile,female,2011,55-74 years
14,Chile,female,2011,75+ years
12,Chile,female,2011,5-14 years
12,Chile,male,2011,5-14 years
101,Chile,male,2012,75+ years
319,Chile,male,2012,25-34 years
555,Chile,male,2012,35-54 years
285,Chile,male,2012,55-74 years
242,Chile,male,2012,15-24 years
138,Chile,female,2012,35-54 years
62,Chile,female,2012,25-34 years
62,Chile,female,2012,15-24 years
52,Chile,female,2012,55-74 years
10,Chile,female,2012,75+ years
8,Chile,male,2012,5-14 years
7,Chile,female,2012,5-14 years
82,Chile,male,2013,75+ years
288,Chile,male,2013,55-74 years
298,Chile,male,2013,25-34 years
516,Chile,male,2013,35-54 years
224,Chile,male,2013,15-24 years
130,Chile,female,2013,35-54 years
60,Chile,female,2013,15-24 years
52,Chile,female,2013,25-34 years
54,Chile,female,2013,55-74 years
14,Chile,female,2013,75+ years
12,Chile,male,2013,5-14 years
8,Chile,female,2013,5-14 years
92,Chile,male,2014,75+ years
308,Chile,male,2014,55-74 years
536,Chile,male,2014,35-54 years
289,Chile,male,2014,25-34 years
238,Chile,male,2014,15-24 years
127,Chile,female,2014,35-54 years
60,Chile,female,2014,25-34 years
58,Chile,female,2014,15-24 years
52,Chile,female,2014,55-74 years
8,Chile,female,2014,75+ years
12,Chile,male,2014,5-14 years
9,Chile,female,2014,5-14 years
117,Chile,male,2015,75+ years
301,Chile,male,2015,55-74 years
513,Chile,male,2015,35-54 years
296,Chile,male,2015,25-34 years
224,Chile,male,2015,15-24 years
136,Chile,female,2015,35-54 years
78,Chile,female,2015,55-74 years
66,Chile,female,2015,25-34 years
64,Chile,female,2015,15-24 years
21,Chile,female,2015,75+ years
13,Chile,female,2015,5-14 years
9,Chile,male,2015,5-14 years
21,Colombia,male,1985,75+ years
113,Colombia,male,1985,55-74 years
193,Colombia,male,1985,25-34 years
256,Colombia,male,1985,15-24 years
188,Colombia,male,1985,35-54 years
117,Colombia,female,1985,15-24 years
45,Colombia,female,1985,25-34 years
3,Colombia,female,1985,75+ years
31,Colombia,female,1985,35-54 years
12,Colombia,female,1985,55-74 years
12,Colombia,male,1985,5-14 years
10,Colombia,female,1985,5-14 years
13,Colombia,male,1986,75+ years
260,Colombia,male,1986,15-24 years
189,Colombia,male,1986,25-34 years
81,Colombia,male,1986,55-74 years
187,Colombia,male,1986,35-54 years
121,Colombia,female,1986,15-24 years
48,Colombia,female,1986,25-34 years
13,Colombia,female,1986,55-74 years
26,Colombia,female,1986,35-54 years
10,Colombia,female,1986,5-14 years
10,Colombia,male,1986,5-14 years
0,Colombia,female,1986,75+ years
301,Colombia,male,1987,15-24 years
86,Colombia,male,1987,55-74 years
14,Colombia,male,1987,75+ years
192,Colombia,male,1987,25-34 years
147,Colombia,male,1987,35-54 years
118,Colombia,female,1987,15-24 years
29,Colombia,female,1987,25-34 years
27,Colombia,female,1987,35-54 years
10,Colombia,female,1987,55-74 years
2,Colombia,female,1987,75+ years
16,Colombia,male,1987,5-14 years
9,Colombia,female,1987,5-14 years
27,Colombia,male,1988,75+ years
214,Colombia,male,1988,25-34 years
83,Colombia,male,1988,55-74 years
243,Colombia,male,1988,15-24 years
160,Colombia,male,1988,35-54 years
85,Colombia,female,1988,15-24 years
6,Colombia,female,1988,75+ years
41,Colombia,female,1988,25-34 years
26,Colombia,female,1988,35-54 years
14,Colombia,male,1988,5-14 years
4,Colombia,female,1988,55-74 years
9,Colombia,female,1988,5-14 years
17,Colombia,male,1989,75+ years
87,Colombia,male,1989,55-74 years
194,Colombia,male,1989,25-34 years
152,Colombia,male,1989,35-54 years
191,Colombia,male,1989,15-24 years
78,Colombia,female,1989,15-24 years
45,Colombia,female,1989,25-34 years
4,Colombia,female,1989,75+ years
34,Colombia,female,1989,35-54 years
13,Colombia,female,1989,5-14 years
4,Colombia,female,1989,55-74 years
12,Colombia,male,1989,5-14 years
21,Colombia,male,1990,75+ years
85,Colombia,male,1990,55-74 years
220,Colombia,male,1990,15-24 years
174,Colombia,male,1990,25-34 years
153,Colombia,male,1990,35-54 years
95,Colombia,female,1990,15-24 years
41,Colombia,female,1990,25-34 years
40,Colombia,female,1990,35-54 years
14,Colombia,female,1990,55-74 years
3,Colombia,female,1990,75+ years
12,Colombia,male,1990,5-14 years
7,Colombia,female,1990,5-14 years
280,Colombia,male,1991,15-24 years
89,Colombia,male,1991,55-74 years
216,Colombia,male,1991,25-34 years
14,Colombia,male,1991,75+ years
175,Colombia,male,1991,35-54 years
100,Colombia,female,1991,15-24 years
54,Colombia,female,1991,25-34 years
36,Colombia,female,1991,35-54 years
3,Colombia,female,1991,75+ years
10,Colombia,female,1991,55-74 years
24,Colombia,male,1991,5-14 years
9,Colombia,female,1991,5-14 years
108,Colombia,male,1992,55-74 years
20,Colombia,male,1992,75+ years
251,Colombia,male,1992,25-34 years
274,Colombia,male,1992,15-24 years
180,Colombia,male,1992,35-54 years
111,Colombia,female,1992,15-24 years
53,Colombia,female,1992,25-34 years
48,Colombia,female,1992,35-54 years
6,Colombia,female,1992,55-74 years
17,Colombia,female,1992,5-14 years
17,Colombia,male,1992,5-14 years
1,Colombia,female,1992,75+ years
22,Colombia,male,1993,75+ years
108,Colombia,male,1993,55-74 years
279,Colombia,male,1993,15-24 years
226,Colombia,male,1993,25-34 years
215,Colombia,male,1993,35-54 years
101,Colombia,female,1993,15-24 years
53,Colombia,female,1993,25-34 years
16,Colombia,female,1993,55-74 years
36,Colombia,female,1993,35-54 years
21,Colombia,male,1993,5-14 years
8,Colombia,female,1993,5-14 years
0,Colombia,female,1993,75+ years
31,Colombia,male,1994,75+ years
313,Colombia,male,1994,15-24 years
110,Colombia,male,1994,55-74 years
247,Colombia,male,1994,25-34 years
216,Colombia,male,1994,35-54 years
130,Colombia,female,1994,15-24 years
59,Colombia,female,1994,25-34 years
19,Colombia,female,1994,55-74 years
44,Colombia,female,1994,35-54 years
2,Colombia,female,1994,75+ years
14,Colombia,female,1994,5-14 years
13,Colombia,male,1994,5-14 years
27,Colombia,male,1995,75+ years
110,Colombia,male,1995,55-74 years
253,Colombia,male,1995,25-34 years
271,Colombia,male,1995,15-24 years
213,Colombia,male,1995,35-54 years
116,Colombia,female,1995,15-24 years
55,Colombia,female,1995,25-34 years
63,Colombia,female,1995,35-54 years
16,Colombia,female,1995,55-74 years
15,Colombia,male,1995,5-14 years
1,Colombia,female,1995,75+ years
10,Colombia,female,1995,5-14 years
33,Colombia,male,1996,75+ years
124,Colombia,male,1996,55-74 years
289,Colombia,male,1996,15-24 years
259,Colombia,male,1996,35-54 years
225,Colombia,male,1996,25-34 years
121,Colombia,female,1996,15-24 years
58,Colombia,female,1996,25-34 years
44,Colombia,female,1996,35-54 years
15,Colombia,female,1996,55-74 years
3,Colombia,female,1996,75+ years
21,Colombia,male,1996,5-14 years
17,Colombia,female,1996,5-14 years
34,Colombia,male,1997,75+ years
117,Colombia,male,1997,55-74 years
315,Colombia,male,1997,15-24 years
242,Colombia,male,1997,25-34 years
234,Colombia,male,1997,35-54 years
117,Colombia,female,1997,15-24 years
70,Colombia,female,1997,25-34 years
57,Colombia,female,1997,35-54 years
17,Colombia,female,1997,55-74 years
3,Colombia,female,1997,75+ years
19,Colombia,male,1997,5-14 years
17,Colombia,female,1997,5-14 years
51,Colombia,male,1998,75+ years
507,Colombia,male,1998,15-24 years
182,Colombia,male,1998,55-74 years
402,Colombia,male,1998,25-34 years
374,Colombia,male,1998,35-54 years
247,Colombia,female,1998,15-24 years
97,Colombia,female,1998,25-34 years
88,Colombia,female,1998,35-54 years
47,Colombia,female,1998,5-14 years
18,Colombia,female,1998,55-74 years
36,Colombia,male,1998,5-14 years
3,Colombia,female,1998,75+ years
53,Colombia,male,1999,75+ years
217,Colombia,male,1999,55-74 years
506,Colombia,male,1999,15-24 years
414,Colombia,male,1999,25-34 years
425,Colombia,male,1999,35-54 years
240,Colombia,female,1999,15-24 years
97,Colombia,female,1999,25-34 years
90,Colombia,female,1999,35-54 years
46,Colombia,female,1999,5-14 years
17,Colombia,female,1999,55-74 years
35,Colombia,male,1999,5-14 years
3,Colombia,female,1999,75+ years
60,Colombia,male,2000,75+ years
629,Colombia,male,2000,15-24 years
198,Colombia,male,2000,55-74 years
438,Colombia,male,2000,25-34 years
453,Colombia,male,2000,35-54 years
262,Colombia,female,2000,15-24 years
96,Colombia,female,2000,25-34 years
99,Colombia,female,2000,35-54 years
6,Colombia,female,2000,75+ years
57,Colombia,female,2000,5-14 years
23,Colombia,female,2000,55-74 years
37,Colombia,male,2000,5-14 years
54,Colombia,male,2001,75+ years
234,Colombia,male,2001,55-74 years
602,Colombia,male,2001,15-24 years
439,Colombia,male,2001,25-34 years
491,Colombia,male,2001,35-54 years
302,Colombia,female,2001,15-24 years
105,Colombia,female,2001,25-34 years
30,Colombia,female,2001,55-74 years
71,Colombia,female,2001,35-54 years
45,Colombia,female,2001,5-14 years
4,Colombia,female,2001,75+ years
35,Colombia,male,2001,5-14 years
48,Colombia,male,2002,75+ years
590,Colombia,male,2002,15-24 years
460,Colombia,male,2002,25-34 years
177,Colombia,male,2002,55-74 years
487,Colombia,male,2002,35-54 years
295,Colombia,female,2002,15-24 years
92,Colombia,female,2002,25-34 years
81,Colombia,female,2002,35-54 years
64,Colombia,female,2002,5-14 years
28,Colombia,female,2002,55-74 years
53,Colombia,male,2002,5-14 years
4,Colombia,female,2002,75+ years
49,Colombia,male,2003,75+ years
235,Colombia,male,2003,55-74 years
424,Colombia,male,2003,25-34 years
508,Colombia,male,2003,15-24 years
441,Colombia,male,2003,35-54 years
299,Colombia,female,2003,15-24 years
93,Colombia,female,2003,25-34 years
96,Colombia,female,2003,35-54 years
35,Colombia,female,2003,55-74 years
6,Colombia,female,2003,75+ years
48,Colombia,female,2003,5-14 years
35,Colombia,male,2003,5-14 years
74,Colombia,male,2004,75+ years
229,Colombia,male,2004,55-74 years
522,Colombia,male,2004,15-24 years
397,Colombia,male,2004,25-34 years
465,Colombia,male,2004,35-54 years
246,Colombia,female,2004,15-24 years
91,Colombia,female,2004,25-34 years
9,Colombia,female,2004,75+ years
85,Colombia,female,2004,35-54 years
29,Colombia,female,2004,55-74 years
56,Colombia,male,2004,5-14 years
41,Colombia,female,2004,5-14 years
63,Colombia,male,2005,75+ years
517,Colombia,male,2005,15-24 years
219,Colombia,male,2005,55-74 years
352,Colombia,male,2005,25-34 years
434,Colombia,male,2005,35-54 years
225,Colombia,female,2005,15-24 years
93,Colombia,female,2005,25-34 years
87,Colombia,female,2005,35-54 years
27,Colombia,female,2005,55-74 years
52,Colombia,male,2005,5-14 years
5,Colombia,female,2005,75+ years
28,Colombia,female,2005,5-14 years
78,Colombia,male,2006,75+ years
521,Colombia,male,2006,15-24 years
408,Colombia,male,2006,25-34 years
211,Colombia,male,2006,55-74 years
453,Colombia,male,2006,35-54 years
197,Colombia,female,2006,15-24 years
96,Colombia,female,2006,25-34 years
90,Colombia,female,2006,35-54 years
33,Colombia,female,2006,55-74 years
46,Colombia,male,2006,5-14 years
40,Colombia,female,2006,5-14 years
4,Colombia,female,2006,75+ years
67,Colombia,male,2007,75+ years
245,Colombia,male,2007,55-74 years
493,Colombia,male,2007,15-24 years
410,Colombia,male,2007,25-34 years
475,Colombia,male,2007,35-54 years
208,Colombia,female,2007,15-24 years
105,Colombia,female,2007,25-34 years
82,Colombia,female,2007,35-54 years
40,Colombia,female,2007,5-14 years
37,Colombia,male,2007,5-14 years
16,Colombia,female,2007,55-74 years
3,Colombia,female,2007,75+ years
69,Colombia,male,2008,75+ years
250,Colombia,male,2008,55-74 years
417,Colombia,male,2008,25-34 years
479,Colombia,male,2008,15-24 years
510,Colombia,male,2008,35-54 years
206,Colombia,female,2008,15-24 years
85,Colombia,female,2008,25-34 years
82,Colombia,female,2008,35-54 years
47,Colombia,male,2008,5-14 years
27,Colombia,female,2008,55-74 years
43,Colombia,female,2008,5-14 years
5,Colombia,female,2008,75+ years
72,Colombia,male,2009,75+ years
426,Colombia,male,2009,25-34 years
252,Colombia,male,2009,55-74 years
481,Colombia,male,2009,15-24 years
517,Colombia,male,2009,35-54 years
207,Colombia,female,2009,15-24 years
72,Colombia,female,2009,25-34 years
46,Colombia,female,2009,55-74 years
87,Colombia,female,2009,35-54 years
54,Colombia,male,2009,5-14 years
32,Colombia,female,2009,5-14 years
3,Colombia,female,2009,75+ years
65,Colombia,male,2010,75+ years
436,Colombia,male,2010,25-34 years
480,Colombia,male,2010,15-24 years
225,Colombia,male,2010,55-74 years
463,Colombia,male,2010,35-54 years
187,Colombia,female,2010,15-24 years
78,Colombia,female,2010,25-34 years
72,Colombia,female,2010,35-54 years
41,Colombia,male,2010,5-14 years
39,Colombia,female,2010,5-14 years
5,Colombia,female,2010,75+ years
16,Colombia,female,2010,55-74 years
60,Colombia,male,2011,75+ years
450,Colombia,male,2011,15-24 years
382,Colombia,male,2011,25-34 years
231,Colombia,male,2011,55-74 years
498,Colombia,male,2011,35-54 years
159,Colombia,female,2011,15-24 years
69,Colombia,female,2011,25-34 years
87,Colombia,female,2011,35-54 years
29,Colombia,female,2011,55-74 years
41,Colombia,male,2011,5-14 years
34,Colombia,female,2011,5-14 years
4,Colombia,female,2011,75+ years
69,Colombia,male,2012,75+ years
486,Colombia,male,2012,15-24 years
412,Colombia,male,2012,25-34 years
266,Colombia,male,2012,55-74 years
455,Colombia,male,2012,35-54 years
151,Colombia,female,2012,15-24 years
73,Colombia,female,2012,25-34 years
41,Colombia,female,2012,55-74 years
83,Colombia,female,2012,35-54 years
44,Colombia,male,2012,5-14 years
6,Colombia,female,2012,75+ years
33,Colombia,female,2012,5-14 years
69,Colombia,male,2013,75+ years
450,Colombia,male,2013,15-24 years
260,Colombia,male,2013,55-74 years
381,Colombia,male,2013,25-34 years
462,Colombia,male,2013,35-54 years
141,Colombia,female,2013,15-24 years
81,Colombia,female,2013,25-34 years
101,Colombia,female,2013,35-54 years
41,Colombia,female,2013,55-74 years
41,Colombia,male,2013,5-14 years
36,Colombia,female,2013,5-14 years
5,Colombia,female,2013,75+ years
83,Colombia,male,2014,75+ years
480,Colombia,male,2014,15-24 years
283,Colombia,male,2014,55-74 years
395,Colombia,male,2014,25-34 years
477,Colombia,male,2014,35-54 years
132,Colombia,female,2014,15-24 years
82,Colombia,female,2014,25-34 years
43,Colombia,female,2014,55-74 years
82,Colombia,female,2014,35-54 years
37,Colombia,male,2014,5-14 years
5,Colombia,female,2014,75+ years
27,Colombia,female,2014,5-14 years
82,Colombia,male,2015,75+ years
473,Colombia,male,2015,15-24 years
317,Colombia,male,2015,55-74 years
379,Colombia,male,2015,25-34 years
560,Colombia,male,2015,35-54 years
176,Colombia,female,2015,15-24 years
111,Colombia,female,2015,25-34 years
96,Colombia,female,2015,35-54 years
10,Colombia,female,2015,75+ years
45,Colombia,female,2015,55-74 years
44,Colombia,female,2015,5-14 years
39,Colombia,male,2015,5-14 years
32,Costa Rica,male,1985,35-54 years
32,Costa Rica,male,1985,25-34 years
12,Costa Rica,male,1985,55-74 years
33,Costa Rica,male,1985,15-24 years
1,Costa Rica,male,1985,75+ years
8,Costa Rica,female,1985,15-24 years
3,Costa Rica,female,1985,25-34 years
3,Costa Rica,female,1985,35-54 years
1,Costa Rica,female,1985,55-74 years
2,Costa Rica,male,1985,5-14 years
1,Costa Rica,female,1985,5-14 years
0,Costa Rica,female,1985,75+ years
3,Costa Rica,male,1986,75+ years
48,Costa Rica,male,1986,35-54 years
20,Costa Rica,male,1986,55-74 years
26,Costa Rica,male,1986,25-34 years
20,Costa Rica,male,1986,15-24 years
7,Costa Rica,female,1986,15-24 years
1,Costa Rica,female,1986,55-74 years
2,Costa Rica,female,1986,25-34 years
2,Costa Rica,female,1986,35-54 years
1,Costa Rica,female,1986,5-14 years
1,Costa Rica,male,1986,5-14 years
0,Costa Rica,female,1986,75+ years
5,Costa Rica,male,1987,75+ years
34,Costa Rica,male,1987,35-54 years
29,Costa Rica,male,1987,25-34 years
22,Costa Rica,male,1987,15-24 years
7,Costa Rica,male,1987,55-74 years
8,Costa Rica,female,1987,25-34 years
7,Costa Rica,female,1987,15-24 years
5,Costa Rica,female,1987,35-54 years
2,Costa Rica,female,1987,5-14 years
0,Costa Rica,female,1987,55-74 years
0,Costa Rica,female,1987,75+ years
0,Costa Rica,male,1987,5-14 years
4,Costa Rica,male,1988,75+ years
49,Costa Rica,male,1988,35-54 years
14,Costa Rica,male,1988,55-74 years
32,Costa Rica,male,1988,25-34 years
22,Costa Rica,male,1988,15-24 years
8,Costa Rica,female,1988,15-24 years
6,Costa Rica,female,1988,25-34 years
3,Costa Rica,female,1988,35-54 years
0,Costa Rica,female,1988,5-14 years
0,Costa Rica,female,1988,55-74 years
0,Costa Rica,female,1988,75+ years
0,Costa Rica,male,1988,5-14 years
50,Costa Rica,male,1989,25-34 years
19,Costa Rica,male,1989,55-74 years
40,Costa Rica,male,1989,35-54 years
2,Costa Rica,male,1989,75+ years
23,Costa Rica,male,1989,15-24 years
12,Costa Rica,female,1989,15-24 years
9,Costa Rica,female,1989,35-54 years
7,Costa Rica,female,1989,25-34 years
1,Costa Rica,female,1989,55-74 years
2,Costa Rica,female,1989,5-14 years
2,Costa Rica,male,1989,5-14 years
0,Costa Rica,female,1989,75+ years
5,Costa Rica,male,1990,75+ years
49,Costa Rica,male,1990,35-54 years
15,Costa Rica,male,1990,55-74 years
35,Costa Rica,male,1990,15-24 years
31,Costa Rica,male,1990,25-34 years
1,Costa Rica,female,1990,75+ years
6,Costa Rica,female,1990,35-54 years
5,Costa Rica,female,1990,15-24 years
2,Costa Rica,female,1990,55-74 years
3,Costa Rica,female,1990,25-34 years
4,Costa Rica,male,1990,5-14 years
1,Costa Rica,female,1990,5-14 years
41,Costa Rica,male,1991,35-54 years
16,Costa Rica,male,1991,55-74 years
31,Costa Rica,male,1991,25-34 years
2,Costa Rica,male,1991,75+ years
15,Costa Rica,male,1991,15-24 years
10,Costa Rica,female,1991,15-24 years
6,Costa Rica,female,1991,35-54 years
3,Costa Rica,female,1991,25-34 years
1,Costa Rica,male,1991,5-14 years
0,Costa Rica,female,1991,5-14 years
0,Costa Rica,female,1991,55-74 years
0,Costa Rica,female,1991,75+ years
48,Costa Rica,male,1992,35-54 years
3,Costa Rica,male,1992,75+ years
15,Costa Rica,male,1992,55-74 years
30,Costa Rica,male,1992,25-34 years
28,Costa Rica,male,1992,15-24 years
12,Costa Rica,female,1992,25-34 years
5,Costa Rica,female,1992,15-24 years
2,Costa Rica,female,1992,55-74 years
4,Costa Rica,female,1992,35-54 years
2,Costa Rica,male,1992,5-14 years
0,Costa Rica,female,1992,5-14 years
0,Costa Rica,female,1992,75+ years
8,Costa Rica,male,1993,75+ years
47,Costa Rica,male,1993,35-54 years
18,Costa Rica,male,1993,55-74 years
38,Costa Rica,male,1993,25-34 years
26,Costa Rica,male,1993,15-24 years
9,Costa Rica,female,1993,25-34 years
9,Costa Rica,female,1993,35-54 years
3,Costa Rica,female,1993,55-74 years
6,Costa Rica,female,1993,15-24 years
0,Costa Rica,female,1993,5-14 years
0,Costa Rica,female,1993,75+ years
0,Costa Rica,male,1993,5-14 years
5,Costa Rica,male,1994,75+ years
44,Costa Rica,male,1994,35-54 years
36,Costa Rica,male,1994,25-34 years
15,Costa Rica,male,1994,55-74 years
30,Costa Rica,male,1994,15-24 years
10,Costa Rica,female,1994,15-24 years
9,Costa Rica,female,1994,25-34 years
3,Costa Rica,female,1994,55-74 years
7,Costa Rica,female,1994,35-54 years
3,Costa Rica,male,1994,5-14 years
0,Costa Rica,female,1994,5-14 years
0,Costa Rica,female,1994,75+ years
62,Costa Rica,male,1995,35-54 years
45,Costa Rica,male,1995,25-34 years
19,Costa Rica,male,1995,55-74 years
40,Costa Rica,male,1995,15-24 years
2,Costa Rica,male,1995,75+ years
13,Costa Rica,female,1995,15-24 years
11,Costa Rica,female,1995,35-54 years
4,Costa Rica,female,1995,55-74 years
7,Costa Rica,female,1995,25-34 years
5,Costa Rica,male,1995,5-14 years
1,Costa Rica,female,1995,5-14 years
0,Costa Rica,female,1995,75+ years
8,Costa Rica,male,1996,75+ years
60,Costa Rica,male,1996,25-34 years
47,Costa Rica,male,1996,15-24 years
49,Costa Rica,male,1996,35-54 years
19,Costa Rica,male,1996,55-74 years
11,Costa Rica,female,1996,15-24 years
6,Costa Rica,female,1996,25-34 years
2,Costa Rica,female,1996,55-74 years
4,Costa Rica,female,1996,35-54 years
2,Costa Rica,male,1996,5-14 years
1,Costa Rica,female,1996,5-14 years
0,Costa Rica,female,1996,75+ years
28,Costa Rica,male,1997,55-74 years
5,Costa Rica,male,1997,75+ years
39,Costa Rica,male,1997,25-34 years
42,Costa Rica,male,1997,15-24 years
40,Costa Rica,male,1997,35-54 years
14,Costa Rica,female,1997,15-24 years
1,Costa Rica,female,1997,75+ years
6,Costa Rica,female,1997,35-54 years
4,Costa Rica,female,1997,25-34 years
5,Costa Rica,male,1997,5-14 years
1,Costa Rica,female,1997,55-74 years
2,Costa Rica,female,1997,5-14 years
7,Costa Rica,male,1998,75+ years
55,Costa Rica,male,1998,25-34 years
68,Costa Rica,male,1998,35-54 years
24,Costa Rica,male,1998,55-74 years
42,Costa Rica,male,1998,15-24 years
8,Costa Rica,female,1998,25-34 years
1,Costa Rica,female,1998,75+ years
6,Costa Rica,female,1998,15-24 years
5,Costa Rica,female,1998,35-54 years
4,Costa Rica,male,1998,5-14 years
1,Costa Rica,female,1998,55-74 years
2,Costa Rica,female,1998,5-14 years
80,Costa Rica,male,1999,35-54 years
52,Costa Rica,male,1999,25-34 years
27,Costa Rica,male,1999,55-74 years
5,Costa Rica,male,1999,75+ years
46,Costa Rica,male,1999,15-24 years
8,Costa Rica,female,1999,15-24 years
6,Costa Rica,female,1999,25-34 years
6,Costa Rica,female,1999,35-54 years
2,Costa Rica,female,1999,55-74 years
1,Costa Rica,female,1999,5-14 years
0,Costa Rica,female,1999,75+ years
0,Costa Rica,male,1999,5-14 years
6,Costa Rica,male,2000,75+ years
77,Costa Rica,male,2000,35-54 years
50,Costa Rica,male,2000,25-34 years
53,Costa Rica,male,2000,15-24 years
24,Costa Rica,male,2000,55-74 years
11,Costa Rica,female,2000,25-34 years
1,Costa Rica,female,2000,75+ years
7,Costa Rica,female,2000,15-24 years
3,Costa Rica,female,2000,55-74 years
5,Costa Rica,female,2000,35-54 years
1,Costa Rica,female,2000,5-14 years
1,Costa Rica,male,2000,5-14 years
7,Costa Rica,male,2001,75+ years
44,Costa Rica,male,2001,25-34 years
61,Costa Rica,male,2001,35-54 years
22,Costa Rica,male,2001,55-74 years
32,Costa Rica,male,2001,15-24 years
9,Costa Rica,female,2001,25-34 years
9,Costa Rica,female,2001,15-24 years
1,Costa Rica,female,2001,75+ years
8,Costa Rica,female,2001,35-54 years
4,Costa Rica,male,2001,5-14 years
1,Costa Rica,female,2001,5-14 years
0,Costa Rica,female,2001,55-74 years
8,Costa Rica,male,2002,75+ years
54,Costa Rica,male,2002,25-34 years
84,Costa Rica,male,2002,35-54 years
58,Costa Rica,male,2002,15-24 years
28,Costa Rica,male,2002,55-74 years
18,Costa Rica,female,2002,15-24 years
8,Costa Rica,female,2002,25-34 years
9,Costa Rica,female,2002,35-54 years
3,Costa Rica,female,2002,55-74 years
4,Costa Rica,male,2002,5-14 years
1,Costa Rica,female,2002,5-14 years
0,Costa Rica,female,2002,75+ years
13,Costa Rica,male,2003,75+ years
39,Costa Rica,male,2003,55-74 years
91,Costa Rica,male,2003,35-54 years
55,Costa Rica,male,2003,25-34 years
62,Costa Rica,male,2003,15-24 years
28,Costa Rica,female,2003,15-24 years
9,Costa Rica,female,2003,25-34 years
11,Costa Rica,female,2003,35-54 years
3,Costa Rica,female,2003,55-74 years
2,Costa Rica,female,2003,5-14 years
2,Costa Rica,male,2003,5-14 years
0,Costa Rica,female,2003,75+ years
104,Costa Rica,male,2004,35-54 years
42,Costa Rica,male,2004,55-74 years
60,Costa Rica,male,2004,25-34 years
68,Costa Rica,male,2004,15-24 years
5,Costa Rica,male,2004,75+ years
10,Costa Rica,female,2004,25-34 years
12,Costa Rica,female,2004,15-24 years
6,Costa Rica,female,2004,55-74 years
12,Costa Rica,female,2004,35-54 years
1,Costa Rica,female,2004,75+ years
3,Costa Rica,female,2004,5-14 years
2,Costa Rica,male,2004,5-14 years
98,Costa Rica,male,2005,35-54 years
35,Costa Rica,male,2005,55-74 years
48,Costa Rica,male,2005,25-34 years
44,Costa Rica,male,2005,15-24 years
4,Costa Rica,male,2005,75+ years
14,Costa Rica,female,2005,15-24 years
16,Costa Rica,female,2005,35-54 years
7,Costa Rica,female,2005,25-34 years
2,Costa Rica,female,2005,55-74 years
2,Costa Rica,female,2005,5-14 years
2,Costa Rica,male,2005,5-14 years
0,Costa Rica,female,2005,75+ years
123,Costa Rica,male,2006,35-54 years
61,Costa Rica,male,2006,25-34 years
37,Costa Rica,male,2006,55-74 years
63,Costa Rica,male,2006,15-24 years
5,Costa Rica,male,2006,75+ years
18,Costa Rica,female,2006,15-24 years
2,Costa Rica,female,2006,75+ years
10,Costa Rica,female,2006,25-34 years
14,Costa Rica,female,2006,35-54 years
6,Costa Rica,female,2006,55-74 years
6,Costa Rica,male,2006,5-14 years
5,Costa Rica,female,2006,5-14 years
90,Costa Rica,male,2007,35-54 years
53,Costa Rica,male,2007,25-34 years
32,Costa Rica,male,2007,55-74 years
46,Costa Rica,male,2007,15-24 years
4,Costa Rica,male,2007,75+ years
20,Costa Rica,female,2007,15-24 years
11,Costa Rica,female,2007,25-34 years
9,Costa Rica,female,2007,35-54 years
3,Costa Rica,female,2007,55-74 years
1,Costa Rica,female,2007,5-14 years
1,Costa Rica,male,2007,5-14 years
0,Costa Rica,female,2007,75+ years
101,Costa Rica,male,2008,35-54 years
52,Costa Rica,male,2008,15-24 years
31,Costa Rica,male,2008,55-74 years
38,Costa Rica,male,2008,25-34 years
4,Costa Rica,male,2008,75+ years
2,Costa Rica,female,2008,75+ years
9,Costa Rica,female,2008,15-24 years
5,Costa Rica,female,2008,55-74 years
